date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:18:32	760109/760109	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:31%20GMT	https://the-everest.amenitiz.io/es/menciones-legales	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/es/menciones-legales.html	(from https://the-everest.amenitiz.io/es)
14:18:32	99903/99903	---MCZ	200	added ('OK')	application/json	etag:W/%2215c7be83a875e7f6570054817f312478%22	https://the-everest.amenitiz.io/es/api_public/v1/client_booking_engine/availability_with_restrictions	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/es/api_public/v1/client_booking_engine/availability_with_restrictions.json	(from https://the-everest.amenitiz.io/es)
14:18:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Feb%202024%2013:18:33%20GMT	https://the-everest.amenitiz.io/en/booking/e,location.href	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/en/booking/e,location.href	(from https://the-everest.amenitiz.io/en/booking/room)
14:18:35	1116393/1116393	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:34%20GMT	https://the-everest.amenitiz.io/en/booking/room?origin_locale=en	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/en/booking/roomc2b5.html	(from https://the-everest.amenitiz.io/en/booking/room)
14:18:36	1117246/1117246	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:36%20GMT	https://the-everest.amenitiz.io/fr/booking/room?origin_locale=en	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/fr/booking/roomc2b5.html	(from https://the-everest.amenitiz.io/en/booking/room)
14:18:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Feb%202024%2013:18:37%20GMT	https://the-everest.amenitiz.io/e,location.href	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/e,location.href	(from https://the-everest.amenitiz.io/rooms)
14:18:38	1116923/1116923	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:36%20GMT	https://the-everest.amenitiz.io/es/booking/room?origin_locale=en	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/es/booking/roomc2b5.html	(from https://the-everest.amenitiz.io/en/booking/room)
14:18:39	760158/760158	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:38%20GMT	https://the-everest.amenitiz.io/room/premium-apartment?info%5Barrival_date%5D=08%2F02%2F2024&info%5Bdeparture_date%5D=10%2F02%2F2024&info%5Btotal_adult%5D=2	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/room/premium-apartment5dc2.html	(from https://the-everest.amenitiz.io/rooms)
14:18:40	1116415/1116415	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:39%20GMT	https://the-everest.amenitiz.io/en/booking/room?info%5Broom_id%5D=15971	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/en/booking/room952c.html	(from https://the-everest.amenitiz.io/rooms)
14:18:41	759232/759232	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:40%20GMT	https://the-everest.amenitiz.io/room/premium-rooms?info%5Barrival_date%5D=08%2F02%2F2024&info%5Bdeparture_date%5D=10%2F02%2F2024&info%5Btotal_adult%5D=2	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/room/premium-rooms5dc2.html	(from https://the-everest.amenitiz.io/rooms)
